2022-06-17 16:03:57 | INFO | web_testcase.api.test_login | test_login.py | [line:26] : 测试接口：乐迪长租登录
2022-06-17 16:03:58 | INFO | web_testcase.api.test_login | test_login.py | [line:33] : https://test.rent.ledear.cn/rent-api/account/platform/account/login
2022-06-17 16:03:58 | INFO | web_testcase.api.test_login | test_login.py | [line:34] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoxOX0.GUT7vHTUj_Ue7F9JsfSy_OnW_9dLbFWSfxcXEGjuiYs'}
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:36] : 测试接口：1-1新增商户
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:89] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoxOX0.GUT7vHTUj_Ue7F9JsfSy_OnW_9dLbFWSfxcXEGjuiYs', 'Content-Length': '636'}
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:90] : 请求路径：https://test.rent.ledear.cn/rent-api/merchant/platform/merchant
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:93] : 请求参数：{"name": "API-test", "linkMan": "API", "linkPhone": 19180939001, "operateCycle": 2, "deposit": 999999, "imgUrl": "merchant/merchant/img/9ebbd463-a64a-4437-9246-f6ed732baf7f.jpg", "operateStartTime": "09:00", "operateEndTime": "22:00", "percentage": 99.99, "bizUserId": 9001, "bizUserName": null, "province": "四川省", "city": "成都市", "area": "武侯区", "position": {"lon": 104.04446, "lat": 30.557735}, "address": "四川省成都市武侯区石羊街道因材施教教育(高新大源校区)清凤时代城"}
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:96] : 响应结果：{'code': '00000', 'message': '成功'}
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:36] : 测试接口：1-2商户列表获取数据
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:89] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoxOX0.GUT7vHTUj_Ue7F9JsfSy_OnW_9dLbFWSfxcXEGjuiYs'}
2022-06-17 16:03:58 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:90] : 请求路径：https://test.rent.ledear.cn/rent-api/merchant/platform/merchant/list?page=1&pageSize=10
